elevation,landcover,lat,lon,ndvi_mean_1995_2024,province_name,soil_clay,soil_nitrogen,soil_ph,soil_sand,soil_soc
4,40,10.3109073,105.2141844,5651.128342245989,An Giang,423.0,2296.0,57.0,211.0,193.0
101,40,10.6278105,107.2803521,5810.468531468531,Ba Ria - Vung Tau,379.0,1212.0,59.0,305.0,135.0
13,40,21.3586912,106.2747677,5084.213660245184,Bac Giang,347.0,1210.0,63.0,270.0,148.0
146,40,22.2220567,105.8681756,5572.632224168126,Bac Kan,400.0,1456.0,60.0,221.0,122.0
3,40,9.401815,105.4487128,5176.367132867133,Bac Lieu,391.0,3489.0,54.0,342.0,275.0
3,40,21.0782579,106.2172111,4099.730297723292,Bac Ninh,419.0,1541.0,61.0,245.0,124.0
-1,40,10.0714766,106.5924532,5875.241258741259,Ben Tre,377.0,3147.0,66.0,232.0,333.0
29,40,13.9481884,108.8531771,5267.136363636364,Binh Dinh,390.0,1361.0,63.0,333.0,165.0
67,10,11.3617868,106.7904995,7099.718531468531,Binh Duong,371.0,1531.0,54.0,348.0,126.0
172,10,11.8000378,106.9151381,6861.382867132867,Binh Phuoc,364.0,1758.0,52.0,306.0,225.0
37,40,11.0966151,108.0886404,6104.505244755244,Binh Thuan,391.0,1020.0,63.0,326.0,88.0
2,40,9.1080394,104.8979779,5395.120629370629,Ca Mau,432.0,3266.0,58.0,299.0,495.0
-1,40,10.122571,105.4595037,5083.24647887324,Can Tho,376.0,3001.0,56.0,224.0,253.0
209,40,22.7663873,106.1218581,5458.197898423818,Cao Bang,351.0,1025.0,63.0,231.0,140.0
58,40,16.0620055,108.0428018,6783.305944055944,Da Nang,308.0,2158.0,58.0,413.0,289.0
620,10,13.2005395,108.1899903,6143.43006993007,Dak Lak,345.0,1369.0,58.0,327.0,136.0
634,30,12.5046041,107.6926461,6120.751748251748,Dak Nong,346.0,1574.0,57.0,340.0,174.0
481,40,21.3198617,103.0221095,5214.371278458844,Dien Bien,,,,,
111,40,10.9669579,107.4280568,5823.444055944056,Dong Nai,339.0,1711.0,59.0,342.0,157.0
4,40,10.5494402,105.8026748,5711.910683012259,Dong Thap,380.0,2674.0,57.0,241.0,346.0
427,30,13.345163,108.3865221,5873.066433566433,Gia Lai,349.0,1172.0,60.0,348.0,135.0
84,40,22.6740844,105.0171206,6254.420315236427,Ha Giang,327.0,1875.0,57.0,273.0,164.0
5,40,20.5544846,106.1034254,4582.341506129597,Ha Nam,364.0,1794.0,60.0,246.0,151.0
37,40,21.1176225,105.3953741,5303.961471103327,Ha Noi,335.0,1184.0,62.0,270.0,130.0
10,40,20.965872,105.550891,5030.68476357268,Ha Tay,334.0,1507.0,60.0,234.0,156.0
5,40,18.2224591,106.0308039,4866.027972027972,Ha Tinh,348.0,2829.0,55.0,338.0,229.0
2,30,20.8032327,106.4129676,4545.355516637478,Hai Duong,403.0,1646.0,60.0,256.0,144.0
-1,40,20.6795578,106.4711033,4213.639229422067,Hai Phong,365.0,1818.0,63.0,270.0,179.0
-2,40,9.824974,105.5712512,5188.93006993007,Hau Giang,401.0,2977.0,59.0,266.0,360.0
34,40,20.4429786,105.4534575,4982.956217162872,Hoa Binh,377.0,1436.0,60.0,233.0,128.0
4,40,20.7358776,106.1531028,4498.441330998248,Hung Yen,396.0,1508.0,62.0,263.0,147.0
30,40,12.523314,109.0144286,5274.582167832168,Khanh Hoa,347.0,1458.0,62.0,305.0,157.0
1,40,10.2211737,104.9863112,4698.919014084507,Kien Giang,439.0,3276.0,55.0,236.0,333.0
881,30,14.6113365,108.0060878,6713.601398601399,Kon Tum,353.0,1965.0,56.0,309.0,173.0
599,30,21.8611486,103.8457452,6067.929947460595,Lai Chau,333.0,1730.0,59.0,298.0,140.0
898,30,11.6023052,108.3785534,6446.666083916084,Lam Dong,385.0,2015.0,57.0,331.0,166.0
35,40,21.524441,106.2269869,4754.761821366024,Lang Son,350.0,1327.0,64.0,264.0,108.0
75,10,22.3476923,104.1428255,4473.7425569176885,Lao Cai,312.0,1080.0,57.0,324.0,156.0
3,40,10.6099676,105.9996499,5718.557319223986,Long An,370.0,1849.0,62.0,181.0,227.0
5,40,20.1841662,106.301384,4384.474605954466,Nam Dinh,347.0,1384.0,60.0,288.0,204.0
17,40,19.0432849,105.4428726,5183.036713286713,Nghe An,330.0,957.0,62.0,347.0,135.0
5,40,20.041718,106.0977183,4287.239929947461,Ninh Binh,345.0,1753.0,59.0,286.0,171.0
117,40,11.7297058,108.7397452,5190.613636363636,Ninh Thuan,314.0,1364.0,63.0,409.0,126.0
22,40,21.4492664,105.0753645,4190.288966725044,Phu Tho,326.0,1728.0,57.0,217.0,199.0
4,40,13.1958397,109.2812606,5408.734265734266,Phu Yen,360.0,2258.0,61.0,308.0,466.0
3,40,17.2230832,106.8091379,4065.9895104895104,Quang Binh,,,,,
14,40,15.8477203,107.9678616,4567.599650349651,Quang Nam,307.0,1840.0,61.0,386.0,277.0
3,40,14.9481932,108.8948599,4846.246503496504,Quang Ngai,307.0,2806.0,63.0,358.0,295.0
8,40,21.0907772,106.5288951,3975.190893169877,Quang Ninh,368.0,1362.0,63.0,255.0,221.0
3,40,16.6766859,107.2782769,5117.576923076923,Quang Tri,,,,,225.0
1,40,9.5661106,105.9868384,5026.416083916084,Soc Trang,354.0,3102.0,60.0,312.0,235.0
1064,30,20.8860433,104.6016002,6754.217162872154,Son La,331.0,1110.0,57.0,300.0,135.0
-1,40,11.0026118,106.5594225,6001.75,TP Ho Chi Minh,472.0,1849.0,58.0,169.0,247.0
2,40,10.9624382,106.1708593,5170.578671328672,Tay Ninh,332.0,1552.0,53.0,284.0,133.0
3,40,20.465305,106.268285,4652.014010507881,Thai Binh,391.0,1389.0,59.0,255.0,172.0
18,40,21.4588378,105.9898843,4863.805604203152,Thai Nguyen,296.0,1479.0,61.0,278.0,203.0
14,40,19.9353032,105.4892382,5107.70979020979,Thanh Hoa,377.0,994.0,61.0,279.0,113.0
5,10,16.4807265,107.6745363,4739.195804195804,Thua Thien Hue,337.0,2403.0,57.0,348.0,350.0
0,40,10.3378539,106.6048017,5932.847902097902,Tien Giang,381.0,2527.0,65.0,212.0,245.0
0,40,9.7790219,106.3597521,5382.70979020979,Tra Vinh,403.0,2894.0,62.0,266.0,493.0
64,40,21.6621744,105.3569853,5150.875656742557,Tuyen Quang,346.0,1537.0,63.0,272.0,194.0
-2,40,10.0745511,105.9442851,5917.148601398601,Vinh Long,359.0,3414.0,62.0,246.0,278.0
13,40,21.2491685,105.4692619,4727.012259194396,Vinh Phuc,294.0,1526.0,62.0,306.0,128.0
280,40,21.5858342,104.50706,5596.054290718039,Yen Bai,,,,,
